"Statistic Label","Year","Sex","Age Group","UNIT","VALUE"
"Persons who use e-cigarettes","2017","Both sexes","30 - 34 years","%","4.1"
"Persons who use e-cigarettes","2017","Both sexes","35 - 39 years","%","3.4"
"Persons who use e-cigarettes","2017","Both sexes","40 - 44 years","%","4.9"
"Persons who use e-cigarettes","2017","Both sexes","45 - 49 years","%","5.6"
"Persons who use e-cigarettes","2017","Both sexes","50 - 54 years","%","5.1"
"Persons who use e-cigarettes","2017","Both sexes","55 - 59 years","%","5.9"
"Persons who use e-cigarettes","2017","Both sexes","60 - 64 years","%","3.6"
"Persons who use e-cigarettes","2017","Both sexes","65 - 69 years","%","2.9"
"Persons who use e-cigarettes","2017","Both sexes","70 - 74 years","%","1.8"
"Persons who use e-cigarettes","2017","Both sexes","75 years and over","%","0.2"
"Persons who use e-cigarettes","2017","Male","All ages","%","4.2"
"Persons who use e-cigarettes","2017","Male","15 - 19 years","%","1.3"
"Persons who use e-cigarettes","2017","Male","20 - 24 years","%","6"
"Persons who use e-cigarettes","2017","Male","25 - 29 years","%","5.2"
"Persons who use e-cigarettes","2017","Male","30 - 34 years","%","4.5"
"Persons who use e-cigarettes","2017","Male","35 - 39 years","%","5"
"Persons who use e-cigarettes","2017","Male","40 - 44 years","%","6.6"
"Persons who use e-cigarettes","2017","Male","45 - 49 years","%","4.2"
"Persons who use e-cigarettes","2017","Male","50 - 54 years","%","4.9"
"Persons who use e-cigarettes","2017","Male","55 - 59 years","%","4.8"
"Persons who use e-cigarettes","2017","Male","60 - 64 years","%","3.7"
"Persons who use e-cigarettes","2017","Male","65 - 69 years","%","3.5"
"Persons who use e-cigarettes","2017","Male","70 - 74 years","%","1.7"
"Persons who use e-cigarettes","2017","Male","75 years and over","%","0.4"
"Persons who use e-cigarettes","2017","Female","All ages","%","3.3"
"Persons who use e-cigarettes","2017","Female","15 - 19 years","%","0.8"
"Persons who use e-cigarettes","2017","Female","20 - 24 years","%","1.1"
"Persons who use e-cigarettes","2017","Female","25 - 29 years","%","3.5"
"Persons who use e-cigarettes","2017","Female","30 - 34 years","%","3.8"
"Persons who use e-cigarettes","2017","Female","35 - 39 years","%","1.9"
"Persons who use e-cigarettes","2017","Female","40 - 44 years","%","3.2"
"Persons who use e-cigarettes","2017","Female","45 - 49 years","%","7.1"
"Persons who use e-cigarettes","2017","Female","50 - 54 years","%","5.4"
"Persons who use e-cigarettes","2017","Female","55 - 59 years","%","6.9"
"Persons who use e-cigarettes","2017","Female","60 - 64 years","%","3.6"
"Persons who use e-cigarettes","2017","Female","65 - 69 years","%","2.3"
"Persons who use e-cigarettes","2017","Female","70 - 74 years","%","1.9"
"Persons who use e-cigarettes","2017","Female","75 years and over","%","0.1"
"Persons who use e-cigarettes","2018","Both sexes","All ages","%","4.3"
"Persons who use e-cigarettes","2018","Both sexes","15 - 19 years","%","0.8"
"Persons who use e-cigarettes","2018","Both sexes","20 - 24 years","%","5.2"
"Persons who use e-cigarettes","2018","Both sexes","25 - 29 years","%","5.3"
"Persons who use e-cigarettes","2018","Both sexes","30 - 34 years","%","5.9"
"Persons who use e-cigarettes","2018","Both sexes","35 - 39 years","%","4.8"
"Persons who use e-cigarettes","2018","Both sexes","40 - 44 years","%","5.8"
"Persons who use e-cigarettes","2018","Both sexes","45 - 49 years","%","6.5"
"Persons who use e-cigarettes","2018","Both sexes","50 - 54 years","%","2.9"
"Persons who use e-cigarettes","2018","Both sexes","55 - 59 years","%","6"
"Persons who use e-cigarettes","2018","Both sexes","60 - 64 years","%","3.9"
"Persons who use e-cigarettes","2018","Both sexes","65 - 69 years","%","4.1"
"Persons who use e-cigarettes","2018","Both sexes","70 - 74 years","%","2.4"
"Persons who use e-cigarettes","2018","Both sexes","75 years and over","%","0.8"
"Persons who use e-cigarettes","2018","Male","All ages","%","4.6"
"Persons who use e-cigarettes","2018","Male","15 - 19 years","%","1"
"Persons who use e-cigarettes","2018","Male","20 - 24 years","%","5.6"
"Persons who use e-cigarettes","2018","Male","25 - 29 years","%","5.2"
"Persons who use e-cigarettes","2018","Male","30 - 34 years","%","7.3"
"Persons who use e-cigarettes","2018","Male","35 - 39 years","%","4.9"
"Persons who use e-cigarettes","2018","Male","40 - 44 years","%","6.3"
"Persons who use e-cigarettes","2018","Male","45 - 49 years","%","6.4"
"Persons who use e-cigarettes","2018","Male","50 - 54 years","%","3.9"
"Persons who use e-cigarettes","2018","Male","55 - 59 years","%","7"
"Persons who use e-cigarettes","2018","Male","60 - 64 years","%","3.3"
"Persons who use e-cigarettes","2018","Male","65 - 69 years","%","2.8"
"Persons who use e-cigarettes","2018","Male","70 - 74 years","%","1.9"
"Persons who use e-cigarettes","2018","Male","75 years and over","%","1.1"
"Persons who use e-cigarettes","2018","Female","All ages","%","4"
"Persons who use e-cigarettes","2018","Female","15 - 19 years","%","0.6"
"Persons who use e-cigarettes","2018","Female","20 - 24 years","%","4.7"
"Persons who use e-cigarettes","2018","Female","25 - 29 years","%","5.4"
"Persons who use e-cigarettes","2018","Female","30 - 34 years","%","4.6"
"Persons who use e-cigarettes","2018","Female","35 - 39 years","%","4.7"
"Persons who use e-cigarettes","2018","Female","40 - 44 years","%","5.3"
"Persons who use e-cigarettes","2018","Female","45 - 49 years","%","6.5"
"Persons who use e-cigarettes","2018","Female","50 - 54 years","%","2"
"Persons who use e-cigarettes","2018","Female","55 - 59 years","%","4.9"
"Persons who use e-cigarettes","2018","Female","60 - 64 years","%","4.5"
"Persons who use e-cigarettes","2018","Female","65 - 69 years","%","5.3"
"Persons who use e-cigarettes","2018","Female","70 - 74 years","%","2.8"
"Persons who use e-cigarettes","2018","Female","75 years and over","%","0.6"
"Persons who use e-cigarettes","2019","Both sexes","All ages","%","5.5"
"Persons who use e-cigarettes","2019","Both sexes","15 - 19 years","%","1.9"
"Persons who use e-cigarettes","2019","Both sexes","20 - 24 years","%","3.9"
"Persons who use e-cigarettes","2019","Both sexes","25 - 29 years","%","8.8"
"Persons who use e-cigarettes","2019","Both sexes","30 - 34 years","%","6.6"
"Persons who use e-cigarettes","2019","Both sexes","35 - 39 years","%","6.5"
"Persons who use e-cigarettes","2019","Both sexes","40 - 44 years","%","6.3"
"Persons who use e-cigarettes","2019","Both sexes","45 - 49 years","%","9.5"
"Persons who use e-cigarettes","2019","Both sexes","50 - 54 years","%","8"
"Persons who use e-cigarettes","2019","Both sexes","55 - 59 years","%","6.8"
"Persons who use e-cigarettes","2019","Both sexes","60 - 64 years","%","5.1"
"Persons who use e-cigarettes","2019","Both sexes","65 - 69 years","%","2"
"Persons who use e-cigarettes","2019","Both sexes","70 - 74 years","%","2.7"
"Persons who use e-cigarettes","2019","Both sexes","75 years and over","%","0.8"
"Persons who use e-cigarettes","2019","Male","All ages","%","5.7"
"Persons who use e-cigarettes","2019","Male","15 - 19 years","%","1.4"
"Persons who use e-cigarettes","2019","Male","20 - 24 years","%","5.5"
"Persons who use e-cigarettes","2019","Male","25 - 29 years","%","7.7"
"Persons who use e-cigarettes","2019","Male","30 - 34 years","%","8.1"
"Persons who use e-cigarettes","2019","Male","35 - 39 years","%","8.1"
"Persons who use e-cigarettes","2019","Male","40 - 44 years","%","7.9"
"Persons who use e-cigarettes","2019","Male","45 - 49 years","%","11.1"
"Persons who use e-cigarettes","2019","Male","50 - 54 years","%","7.5"
"Persons who use e-cigarettes","2019","Male","55 - 59 years","%","4.9"
"Persons who use e-cigarettes","2019","Male","60 - 64 years","%","3.3"
"Persons who use e-cigarettes","2019","Male","65 - 69 years","%","2.3"
"Persons who use e-cigarettes","2019","Male","70 - 74 years","%","1.7"
"Persons who use e-cigarettes","2019","Male","75 years and over","%","0.6"
"Persons who use e-cigarettes","2019","Female","All ages","%","5.3"
"Persons who use e-cigarettes","2019","Female","15 - 19 years","%","2.4"
"Persons who use e-cigarettes","2019","Female","20 - 24 years","%","2.7"
"Persons who use e-cigarettes","2019","Female","25 - 29 years","%","10.1"
"Persons who use e-cigarettes","2019","Female","30 - 34 years","%","5.3"
"Persons who use e-cigarettes","2019","Female","35 - 39 years","%","4.9"
"Persons who use e-cigarettes","2019","Female","40 - 44 years","%","4.8"
"Persons who use e-cigarettes","2019","Female","45 - 49 years","%","7.7"
"Persons who use e-cigarettes","2019","Female","50 - 54 years","%","8.3"
"Persons who use e-cigarettes","2019","Female","55 - 59 years","%","8.8"
"Persons who use e-cigarettes","2019","Female","60 - 64 years","%","6.9"
"Persons who use e-cigarettes","2019","Female","65 - 69 years","%","1.7"
"Persons who use e-cigarettes","2019","Female","70 - 74 years","%","3.8"
"Persons who use e-cigarettes","2019","Female","75 years and over","%","0.9"
"Persons who use e-cigarettes","2021","Both sexes","All ages","%","3.7"
"Persons who use e-cigarettes","2021","Both sexes","15 - 19 years","%","5.3"
"Persons who use e-cigarettes","2021","Both sexes","20 - 24 years","%","3.7"
"Persons who use e-cigarettes","2021","Both sexes","25 - 29 years","%","4.7"
"Persons who use e-cigarettes","2021","Both sexes","30 - 34 years","%","4.7"
"Persons who use e-cigarettes","2021","Both sexes","35 - 39 years","%","3.9"
"Persons who use e-cigarettes","2021","Both sexes","40 - 44 years","%","4.5"
"Persons who use e-cigarettes","2021","Both sexes","45 - 49 years","%","5"
"Persons who use e-cigarettes","2021","Both sexes","50 - 54 years","%","2.6"
"Persons who use e-cigarettes","2021","Both sexes","55 - 59 years","%","2.8"
"Persons who use e-cigarettes","2021","Both sexes","60 - 64 years","%","4.1"
"Persons who use e-cigarettes","2021","Both sexes","65 - 69 years","%","1.6"
"Persons who use e-cigarettes","2021","Both sexes","70 - 74 years","%","1.4"
"Persons who use e-cigarettes","2021","Both sexes","75 years and over","%","1.4"
"Persons who use e-cigarettes","2021","Male","All ages","%","4.4"
"Persons who use e-cigarettes","2021","Male","15 - 19 years","%","9.1"
"Persons who use e-cigarettes","2021","Male","20 - 24 years","%","4.6"
"Persons who use e-cigarettes","2021","Male","25 - 29 years","%","6.5"
"Persons who use e-cigarettes","2021","Male","30 - 34 years","%","8.3"
"Persons who use e-cigarettes","2021","Male","35 - 39 years","%","5.7"
"Persons who use e-cigarettes","2021","Male","40 - 44 years","%","3.7"
"Persons who use e-cigarettes","2021","Male","45 - 49 years","%","5.7"
"Persons who use e-cigarettes","2021","Male","50 - 54 years","%","2.3"
"Persons who use e-cigarettes","2021","Male","55 - 59 years","%","2.4"
"Persons who use e-cigarettes","2021","Male","60 - 64 years","%","2"
"Persons who use e-cigarettes","2021","Male","65 - 69 years","%","1.7"
"Persons who use e-cigarettes","2021","Male","70 - 74 years","%","1.2"
"Persons who use e-cigarettes","2021","Male","75 years and over","%","0.4"
"Persons who use e-cigarettes","2021","Female","All ages","%","3"
"Persons who use e-cigarettes","2021","Female","15 - 19 years","%","1.2"
"Persons who use e-cigarettes","2021","Female","20 - 24 years","%","2.9"
"Persons who use e-cigarettes","2021","Female","25 - 29 years","%","3.1"
"Persons who use e-cigarettes","2021","Female","30 - 34 years","%","1.2"
"Persons who use e-cigarettes","2021","Female","35 - 39 years","%","2.3"
"Persons who use e-cigarettes","2021","Female","40 - 44 years","%","5.4"
"Persons who use e-cigarettes","2021","Female","45 - 49 years","%","4.3"
"Persons who use e-cigarettes","2021","Female","50 - 54 years","%","2.8"
"Persons who use e-cigarettes","2021","Female","55 - 59 years","%","3.2"
"Persons who use e-cigarettes","2021","Female","60 - 64 years","%","6.1"
"Persons who use e-cigarettes","2021","Female","65 - 69 years","%","1.6"
"Persons who use e-cigarettes","2021","Female","70 - 74 years","%","1.5"
"Persons who use e-cigarettes","2021","Female","75 years and over","%","2.5"
"Persons who use e-cigarettes","2022","Both sexes","All ages","%","6"
"Persons who use e-cigarettes","2022","Both sexes","15 - 19 years","%","7.7"
"Persons who use e-cigarettes","2022","Both sexes","20 - 24 years","%","12.6"
"Persons who use e-cigarettes","2022","Both sexes","25 - 29 years","%","8.7"
"Persons who use e-cigarettes","2022","Both sexes","30 - 34 years","%","5.9"
"Persons who use e-cigarettes","2022","Both sexes","35 - 39 years","%","4.6"
"Persons who use e-cigarettes","2022","Both sexes","40 - 44 years","%","6.3"
"Persons who use e-cigarettes","2022","Both sexes","45 - 49 years","%","5.6"
"Persons who use e-cigarettes","2022","Both sexes","50 - 54 years","%","8.5"
"Persons who use e-cigarettes","2022","Both sexes","55 - 59 years","%","6.7"
"Persons who use e-cigarettes","2022","Both sexes","60 - 64 years","%","3.8"
"Persons who use e-cigarettes","2022","Both sexes","65 - 69 years","%","2.2"
"Persons who use e-cigarettes","2022","Both sexes","70 - 74 years","%","1.1"
"Persons who use e-cigarettes","2022","Both sexes","75 years and over","%","0.7"
"Persons who use e-cigarettes","2022","Male","All ages","%","6.8"
"Persons who use e-cigarettes","2022","Male","15 - 19 years","%","7"
"Persons who use e-cigarettes","2022","Male","20 - 24 years","%","11.8"
"Persons who use e-cigarettes","2022","Male","25 - 29 years","%","8.5"
"Persons who use e-cigarettes","2022","Male","30 - 34 years","%","6.5"
"Persons who use e-cigarettes","2022","Male","35 - 39 years","%","7.4"
"Persons who use e-cigarettes","2022","Male","40 - 44 years","%","9.5"
"Persons who use e-cigarettes","2022","Male","45 - 49 years","%","7.6"
"Persons who use e-cigarettes","2022","Male","50 - 54 years","%","9.8"
"Persons who use e-cigarettes","2022","Male","55 - 59 years","%","6.4"
"Persons who use e-cigarettes","2022","Male","60 - 64 years","%","1.4"
"Persons who use e-cigarettes","2022","Male","65 - 69 years","%","2.8"
"Persons who use e-cigarettes","2022","Male","70 - 74 years","%","1.5"
"Persons who use e-cigarettes","2022","Male","75 years and over","%","1.3"
"Persons who use e-cigarettes","2022","Female","All ages","%","5.3"
"Persons who use e-cigarettes","2022","Female","15 - 19 years","%","8.6"
"Persons who use e-cigarettes","2022","Female","20 - 24 years","%","13.3"
"Persons who use e-cigarettes","2022","Female","25 - 29 years","%","9"
"Persons who use e-cigarettes","2022","Female","30 - 34 years","%","5.4"
"Persons who use e-cigarettes","2022","Female","35 - 39 years","%","2.3"
"Persons who use e-cigarettes","2022","Female","40 - 44 years","%","2.8"
"Persons who use e-cigarettes","2022","Female","45 - 49 years","%","3.9"
"Persons who use e-cigarettes","2022","Female","50 - 54 years","%","7"
"Persons who use e-cigarettes","2022","Female","55 - 59 years","%","7.2"
"Persons who use e-cigarettes","2022","Female","60 - 64 years","%","6"
"Persons who use e-cigarettes","2022","Female","65 - 69 years","%","1.6"
"Persons who use e-cigarettes","2022","Female","70 - 74 years","%","0.8"
"Persons who use e-cigarettes","2022","Female","75 years and over","%","0.2"
"Persons who use e-cigarettes","2023","Both sexes","All ages","%","8.4"
"Persons who use e-cigarettes","2023","Both sexes","15 - 19 years","%","20.4"
"Persons who use e-cigarettes","2023","Both sexes","20 - 24 years","%","16.4"
"Persons who use e-cigarettes","2023","Both sexes","25 - 29 years","%","11.8"
"Persons who use e-cigarettes","2023","Both sexes","30 - 34 years","%","7.7"
"Persons who use e-cigarettes","2023","Both sexes","35 - 39 years","%","9.5"
"Persons who use e-cigarettes","2023","Both sexes","40 - 44 years","%","7.2"
"Persons who use e-cigarettes","2023","Both sexes","45 - 49 years","%","7.6"
"Persons who use e-cigarettes","2023","Both sexes","50 - 54 years","%","5.6"
"Persons who use e-cigarettes","2023","Both sexes","55 - 59 years","%","6"
"Persons who use e-cigarettes","2023","Both sexes","60 - 64 years","%","6.6"
"Persons who use e-cigarettes","2023","Both sexes","65 - 69 years","%","5.4"
"Persons who use e-cigarettes","2023","Both sexes","70 - 74 years","%","2.4"
"Persons who use e-cigarettes","2023","Both sexes","75 years and over","%","2"
"Persons who use e-cigarettes","2023","Male","All ages","%","8.9"
"Persons who use e-cigarettes","2023","Male","15 - 19 years","%","14.5"
"Persons who use e-cigarettes","2023","Male","20 - 24 years","%","16.6"
"Persons who use e-cigarettes","2023","Male","25 - 29 years","%","13.3"
"Persons who use e-cigarettes","2023","Male","30 - 34 years","%","8.9"
"Persons who use e-cigarettes","2023","Male","35 - 39 years","%","15"
"Persons who use e-cigarettes","2023","Male","40 - 44 years","%","7.3"
"Persons who use e-cigarettes","2023","Male","45 - 49 years","%","9"
"Persons who use e-cigarettes","2023","Male","50 - 54 years","%","4.3"
"Persons who use e-cigarettes","2023","Male","55 - 59 years","%","6.9"
"Persons who use e-cigarettes","2023","Male","60 - 64 years","%","7.6"
"Persons who use e-cigarettes","2023","Male","65 - 69 years","%","3.4"
"Persons who use e-cigarettes","2023","Male","70 - 74 years","%","2"
"Persons who use e-cigarettes","2023","Male","75 years and over","%","2.3"
"Persons who use e-cigarettes","2023","Female","All ages","%","7.9"
"Persons who use e-cigarettes","2023","Female","15 - 19 years","%","26.8"
"Persons who use e-cigarettes","2023","Female","20 - 24 years","%","16"
"Persons who use e-cigarettes","2023","Female","25 - 29 years","%","10.2"
"Persons who use e-cigarettes","2023","Female","30 - 34 years","%","6.6"
"Persons who use e-cigarettes","2023","Female","35 - 39 years","%","4.4"
"Persons who use e-cigarettes","2023","Female","40 - 44 years","%","7"
"Persons who use e-cigarettes","2023","Female","45 - 49 years","%","6.3"
"Persons who use e-cigarettes","2023","Female","50 - 54 years","%","6.9"
"Persons who use e-cigarettes","2023","Female","55 - 59 years","%","5.1"
"Persons who use e-cigarettes","2023","Female","60 - 64 years","%","5.7"
"Persons who use e-cigarettes","2023","Female","65 - 69 years","%","7.1"
"Persons who use e-cigarettes","2023","Female","70 - 74 years","%","2.8"
"Persons who use e-cigarettes","2023","Female","75 years and over","%","1.7"
"Persons who use e-cigarettes","2024","Both sexes","All ages","%","8.1"
"Persons who use e-cigarettes","2024","Both sexes","15 - 19 years","%","18.3"
"Persons who use e-cigarettes","2024","Both sexes","20 - 24 years","%","16.8"
"Persons who use e-cigarettes","2024","Both sexes","25 - 29 years","%","14.2"
"Persons who use e-cigarettes","2024","Both sexes","30 - 34 years","%","10"
"Persons who use e-cigarettes","2024","Both sexes","35 - 39 years","%","8"
"Persons who use e-cigarettes","2024","Both sexes","40 - 44 years","%","6.9"
"Persons who use e-cigarettes","2024","Both sexes","45 - 49 years","%","6.7"
"Persons who use e-cigarettes","2024","Both sexes","50 - 54 years","%","5.2"
"Persons who use e-cigarettes","2024","Both sexes","55 - 59 years","%","5.5"
"Persons who use e-cigarettes","2024","Both sexes","60 - 64 years","%","3.8"
"Persons who use e-cigarettes","2024","Both sexes","65 - 69 years","%","4.4"
"Persons who use e-cigarettes","2024","Both sexes","70 - 74 years","%","2.4"
"Persons who use e-cigarettes","2024","Both sexes","75 years and over","%","1.2"
"Persons who use e-cigarettes","2024","Male","All ages","%","9.1"
"Persons who use e-cigarettes","2024","Male","15 - 19 years","%","19.4"
"Persons who use e-cigarettes","2024","Male","20 - 24 years","%","20"
"Persons who use e-cigarettes","2024","Male","25 - 29 years","%","13.5"
"Persons who use e-cigarettes","2024","Male","30 - 34 years","%","9.7"
"Persons who use e-cigarettes","2024","Male","35 - 39 years","%","13.7"
"Persons who use e-cigarettes","2024","Male","40 - 44 years","%","7.6"
"Persons who use e-cigarettes","2024","Male","45 - 49 years","%","7.6"
"Persons who use e-cigarettes","2024","Male","50 - 54 years","%","5.5"
"Persons who use e-cigarettes","2024","Male","55 - 59 years","%","7"
"Persons who use e-cigarettes","2024","Male","60 - 64 years","%","3.1"
"Persons who use e-cigarettes","2024","Male","65 - 69 years","%","2.9"
"Persons who use e-cigarettes","2024","Male","70 - 74 years","%","1.2"
"Persons who use e-cigarettes","2024","Male","75 years and over","%","1.9"
"Persons who use e-cigarettes","2024","Female","All ages","%","7.1"
"Persons who use e-cigarettes","2024","Female","15 - 19 years","%","16.9"
"Persons who use e-cigarettes","2024","Female","20 - 24 years","%","13.7"
"Persons who use e-cigarettes","2024","Female","25 - 29 years","%","15"
"Persons who use e-cigarettes","2024","Female","30 - 34 years","%","10.4"
"Persons who use e-cigarettes","2024","Female","35 - 39 years","%","2.6"
"Persons who use e-cigarettes","2024","Female","40 - 44 years","%","6.2"
"Persons who use e-cigarettes","2024","Female","45 - 49 years","%","5.7"
"Persons who use e-cigarettes","2024","Female","50 - 54 years","%","4.9"
"Persons who use e-cigarettes","2024","Female","55 - 59 years","%","4.2"
"Persons who use e-cigarettes","2024","Female","60 - 64 years","%","4.6"
"Persons who use e-cigarettes","2024","Female","65 - 69 years","%","5.7"
"Persons who use e-cigarettes","2024","Female","70 - 74 years","%","3.5"
"Persons who use e-cigarettes","2024","Female","75 years and over","%","0.7"
